thread_root_id,root_time,thread_len,matched_post_count,join_coverage,matched_post_ids,matched_user_ids
4295,202402231454,4,1,0.25,175956,114
5789,202310250731,2,1,0.5,148619,319
5945,202310230717,8,1,0.125,148619,319
7716,202312210620,54,1,0.0185,175934,114
7788,202308191943,863,2,0.0023,"2270581,175937","114,12030"
9408,202310241826,2,1,0.5,311569,1168
10436,202312092111,9,1,0.1111,100448,319
10733,202310091350,57,1,0.0175,100448,319
11223,202307041343,1530,3,0.002,"329332,175934,175937","114,9487"
12511,202401201855,12,1,0.0833,17829,9487
13087,202312070033,42,1,0.0238,65583,114
14578,202312111801,1865,2,0.0011,"142854,1381679","379,8643"
14731,202402062018,189,1,0.0053,1235530,83528
15018,202402282352,2168,3,0.0014,"699400,602550,1258048","379,4890,12030"
16118,202310130413,126,1,0.0079,175836,114
16740,202401211012,123,1,0.0081,25871,319
16900,202312101902,529,1,0.0019,198257,4890
17130,202310291316,95,1,0.0105,138252,114
17293,202308132258,22,1,0.0455,175836,114
17694,202402211327,54,1,0.0185,96819,379
17805,202402121622,84,1,0.0119,96819,379
17893,202402060452,12,1,0.0833,604028,319
17943,202402030726,34,1,0.0294,159445,319
18169,202401211911,74,1,0.0135,96819,379
18317,202401101334,109,1,0.0092,98207,9
18534,202312221029,136,1,0.0074,98207,9
18739,202311301150,50,1,0.02,604028,319
19023,202311191459,255,1,0.0039,1619,319
19177,202311130628,37,2,0.0541,"98207,213672","9,319"
19364,202309222118,297,1,0.0034,175836,114
19399,202309190228,83,1,0.012,175873,114
19439,202309052154,18,1,0.0556,146400,379
21382,202310252129,20,1,0.05,17829,9487
21412,202312311505,403,1,0.0025,98207,9
21571,202310151913,187,1,0.0053,159588,626
22094,202309271001,85,1,0.0118,140428,319
22768,202310190513,274,1,0.0036,147129,379
23002,202401240827,5,1,0.2,132820,319
26242,202309181623,893,1,0.0011,566596,8643
26976,202308022224,9,1,0.1111,702201,379
26981,202307061210,2,1,0.5,702201,379
26985,202307032219,2,1,0.5,702201,379
26988,202307032213,21,1,0.0476,702201,379
26996,202307031820,14,1,0.0714,702201,379
26999,202307031828,14,1,0.0714,702201,379
27001,202307031814,2,1,0.5,702201,379
27007,202307021338,2,1,0.5,702201,379
27012,202307020013,11,1,0.0909,702201,379
27014,202307012306,55,1,0.0182,702201,379
27020,202307012129,15,1,0.0667,702201,379
27022,202307012137,6,1,0.1667,702201,379
27024,202307012058,42,1,0.0238,702201,379
27027,202307012121,13,1,0.0769,702201,379
27031,202307011927,34,1,0.0294,702201,379
27039,202307011646,17,1,0.0588,702201,379
27042,202307011515,32,1,0.0312,702201,379
27046,202306230152,14,1,0.0714,702201,379
27763,202310041855,182,2,0.011,"699664,699671","9,379"
28137,202401111911,22,1,0.0455,98207,9
28139,202401102048,296,1,0.0034,96819,379
28384,202310042053,67,1,0.0149,304272,379
28796,202311230506,6,1,0.1667,198272,4890
28851,202311022142,4,1,0.25,198272,4890
28872,202310280144,13,1,0.0769,198272,4890
28879,202310262201,580,1,0.0017,175981,114
28938,202310051825,12,1,0.0833,198272,4890
28979,202309211538,8,1,0.125,25736,319
29047,202309082041,26,1,0.0385,160418,114
29124,202308252010,8,1,0.125,160418,114
29149,202308252110,49,1,0.0204,198272,4890
29173,202308211616,15,1,0.0667,160418,114
29180,202308210630,15,1,0.0667,198272,4890
29672,202308241441,1823,5,0.0027,"698322,175827,175847,175870,175883","114,319"
29674,202307251801,374,1,0.0027,175874,114
29768,202305050117,7,1,0.1429,175880,114
