user_id,news_post_count,matched_thread_post_count,activity_score,activity_level
379,1982,13710,15692,high
319,1138,14222,15360,high
9487,8452,3973,12425,high
114,222,10168,10390,high
12030,7543,380,7923,high
4890,2164,2921,5085,high
5087,2894,59,2953,high
1168,2194,544,2738,high
9,500,1622,2122,high
626,724,1367,2091,middle
20037,1778,127,1905,middle
8643,1306,484,1790,middle
83528,247,1077,1324,middle
16202,899,325,1224,middle
83284,456,613,1069,low
25678,935,20,955,low
8923,445,510,955,low
17627,12,904,916,low
15717,902,5,907,low
2486,614,170,784,low
21598,233,376,609,low
4887,64,458,522,low
6776,275,215,490,low
17096,149,255,404,low
129299,363,5,368,low
19346,335,1,336,low
67361,294,24,318,low
54349,286,29,315,low
8212,231,34,265,low
72506,232,18,250,low
132107,219,2,221,low
273835,168,42,210,low
203513,187,8,195,low
18470,136,31,167,low
16199,76,91,167,low
63168,155,5,160,low
1639,55,86,141,low
5221,131,5,136,low
63826,106,5,111,low
5332,59,26,85,low
19408,60,1,61,low
225648,56,4,60,low
17630,19,9,28,low
9056,21,2,23,low
17638,12,1,13,low
