agent_id,user_id,post_count,matched_thread_post_count,activity_score,activity_level,reply_count_sum,repost_count_sum,like_count_sum,quote_count
A0000,37717,3482,19,3512.1663,high,3085,10740,56878,1268
A0001,24957,2395,25,2430.9047,high,4329,3770,46334,1415
A0002,33695,2016,38,2063.9488,high,1368,4564,14995,835
A0003,683,1991,18,2018.8506,high,1091,3352,14526,956
A0004,24884,1301,21,1331.652,high,1481,1661,12410,987
A0005,64830,1086,168,1265.1684,high,4779,7399,58679,432
A0006,34218,960,126,1097.6285,high,6190,15898,90161,273
A0007,46455,1082,5,1096.7896,high,1324,1510,15012,155
A0008,24887,1034,37,1081.3903,high,1845,3382,27316,250
A0009,2481,783,96,890.4535,high,1980,17896,74353,80
A0010,226062,823,45,876.2646,high,195,1639,2049,594
A0011,36146,692,79,781.3405,high,2167,5724,23068,256
A0012,64509,722,22,754.5297,high,1690,4821,30899,281
A0013,81413,692,10,711.3013,high,477,2640,7834,383
A0014,34586,642,5,655.6048,high,260,741,4456,266
A0015,488489,632,3,644.3969,high,1095,2860,8095,119
A0016,184303,490,85,585.1333,high,997,4318,19851,177
A0017,361062,551,2,560.2004,high,143,165,1031,24
A0018,200724,523,27,558.3749,high,334,676,3326,309
A0019,45676,288,231,529.7513,high,1215,10461,35012,129
A0020,205849,513,1,522.5549,high,371,728,4092,208
A0021,195198,482,7,498.4019,high,565,1657,9888,84
A0022,122809,477,4,489.4336,high,332,628,3638,296
A0023,27967,456,17,482.1747,high,427,1821,7401,25
A0024,95728,463,3,474.4045,high,617,340,3509,295
A0025,5710,430,30,470.6261,high,2410,3514,35270,143
A0026,19256,454,3,466.6053,high,341,2749,11752,127
A0027,34671,445,9,463.0468,high,527,2171,5792,101
A0028,2493,362,47,420.2179,high,3059,6149,65241,161
A0029,507093,390,3,401.5427,high,145,1465,3518,94
A0030,3060,373,9,393.2034,high,3040,9977,60362,230
A0031,30435,349,15,373.9563,high,599,3163,17322,239
A0032,46756,334,2,346.5535,high,2221,4724,31365,24
A0033,1419015,304,4,314.2691,high,56,75,396,154
A0034,61595,297,4,310.2849,high,402,2148,8223,106
A0035,515720,301,1,308.9324,high,70,164,790,55
A0036,88581,290,7,305.8034,high,574,482,5600,28
A0037,30506,284,8,301.8395,high,1145,3250,14365,164
A0038,2483,287,1,298.7436,high,1937,4498,39895,120
A0039,64913,289,1,297.5989,high,207,206,1582,41
A0040,172477,267,21,296.3306,middle,347,512,3289,60
A0041,161564,276,7,293.0059,middle,1142,5008,16006,39
A0042,389,266,6,281.7904,middle,636,3106,14118,159
A0043,27123,148,124,280.6291,middle,343,709,4539,24
A0044,195713,264,1,272.3771,middle,283,127,1188,108
A0045,121736,227,7,242.4451,middle,224,1352,3075,66
A0046,88616,167,58,233.1107,middle,191,908,2230,27
A0047,88639,220,4,231.9036,middle,268,557,1881,114
A0048,49038,220,1,227.7081,middle,63,170,585,18
A0049,628,173,43,226.9583,middle,3544,10922,42960,0
A0050,190011,202,1,210.4622,middle,54,363,1323,40
A0051,51,187,13,210.4598,middle,1527,5784,27574,86
A0052,125460,172,10,188.9773,middle,195,48,828,19
A0053,100727,176,1,184.2542,middle,72,304,1037,83
A0054,5666,118,59,184.1632,middle,130,100,1060,17
A0055,42722,171,2,180.0951,middle,91,138,976,24
A0056,130,137,30,178.9558,middle,6059,18807,130846,46
A0057,274625,169,1,177.9868,middle,145,556,2240,85
A0058,6567,154,8,172.2508,middle,1127,4605,22573,72
A0059,46200,146,18,171.7694,middle,87,1204,1075,125
A0060,66009,158,2,166.0186,middle,52,27,331,11
A0061,64885,144,13,165.4954,middle,213,924,3754,98
A0062,6724,114,41,164.411,middle,462,2230,9529,33
A0063,117794,148,1,157.5897,middle,330,639,4406,42
A0064,32905,106,43,157.556,middle,375,740,4082,9
A0065,4293,132,15,155.9026,middle,261,1206,5883,20
A0066,2487,122,17,148.4973,middle,482,2343,10498,51
A0067,161054,136,1,144.763,middle,78,303,1970,34
A0068,509872,127,9,142.541,middle,116,18,558,4
A0069,18330,123,1,133.8697,middle,699,3208,15428,70
A0070,33296,125,2,133.6695,middle,68,169,550,28
A0071,8,118,1,124.7333,middle,42,61,205,33
A0072,959962,113,3,121.5491,middle,15,25,216,3
A0073,64000,105,2,115.3483,middle,187,915,3120,32
A0074,320273,97,8,110.5645,middle,25,13,222,2
A0075,31501,96,3,105.7322,middle,49,149,640,18
A0076,211076,93,7,105.3613,middle,13,50,149,21
A0077,226029,96,1,102.7714,middle,17,112,191,38
A0078,2460,72,18,100.6046,middle,986,6984,32347,23
A0079,31395,91,1,98.0822,middle,40,38,359,33
A0080,163377,87,2,97.1476,low,150,708,2596,31
A0081,288354,88,1,97.0097,low,135,592,2282,39
A0082,45241,82,2,91.2759,low,141,115,1188,8
A0083,4113,60,18,89.2311,low,1798,13022,60618,31
A0084,5744,62,6,76.956,low,144,2457,5152,15
A0085,6846,61,6,75.1876,low,160,540,2895,9
A0086,94421,68,1,75.1269,low,25,67,365,15
A0087,6826,16,51,75.1101,low,148,432,2747,12
A0088,94,55,1,65.2425,low,648,807,8871,11
A0089,101298,48,6,61.7075,low,37,378,1809,5
A0090,63813,51,2,60.6816,low,82,459,1626,14
A0091,156164,50,1,59.233,low,103,488,3171,9
A0092,36152,46,1,54.063,low,90,173,904,10
A0093,65007,46,1,53.8035,low,56,124,720,10
A0094,780,18,30,53.6058,low,21,14,236,1
A0095,297940,30,16,53.4271,low,19,390,1271,0
A0096,422679,45,1,51.8608,low,56,50,244,10
A0097,77335,39,4,50.3072,low,38,289,1163,13
A0098,1320314,44,1,50.118,low,26,41,99,10
A0099,199159,40,1,46.9989,low,24,75,303,7
A0100,6520,36,1,45.0462,low,170,192,2759,28
A0101,30524,34,4,44.7286,low,59,40,736,9
A0102,82449,37,1,44.6438,low,64,94,609,3
A0103,996134,36,2,44.1048,low,28,85,334,12
A0104,37812,28,2,39.8892,low,218,5092,14406,0
A0105,123866,32,1,39.3818,low,16,177,397,0
A0106,30475,18,11,37.3561,low,74,821,3360,1
A0107,17098,28,1,35.9735,low,71,158,838,9
A0108,311725,1,29,32.6391,low,0,8,5,0
A0109,19246,24,1,31.7464,low,12,333,505,0
A0110,243670,18,8,30.8752,low,19,18,93,10
A0111,49138,22,1,30.2793,low,47,256,1146,1
A0112,449042,18,5,29.8416,low,13,527,395,13
A0113,471909,20,1,26.0039,low,9,38,101,1
A0114,6781,12,3,20.2983,low,22,22,155,0
A0115,19226,11,2,20.0202,low,66,160,892,2
A0116,19238,8,2,15.3982,low,8,46,166,3
A0117,422721,5,4,13.5747,low,1,34,61,0
A0118,2246008,3,1,4.6931,low,0,0,1,0
