thread_id,root_time,thread_len,matched_post_count,join_coverage,matched_post_ids,matched_user_ids,matched_post_positions
2223612,202304182218,8,2,0.25,"135178,135183","34218,34218","2,4"
7845281,202304190002,39,2,0.051282,"135169,135178","2481,34218","0,4"
47139411,202304191217,12,2,0.166667,"135183,129308","34218,31501","5,10"
29707030,202304191251,11,2,0.181818,"135068,129308","2481,31501","2,9"
4447826,202304191533,159,3,0.018868,"135195,129308,135068","6826,31501,2481","12,92,116"
31369920,202304191821,3,2,0.666667,"135178,135195","34218,6826","0,1"
1376214,202304222350,323,2,0.006192,"379141,693172","33695,488489","37,159"
956024,202304272017,966,4,0.004141,"383014,135324,302589,75261","33695,19238,34218,81413","20,71,685,686"
412394,202305090204,81,2,0.024691,"131409,726518","32905,161564","48,78"
960654,202305091539,315,2,0.006349,"379141,384030","33695,33695","29,144"
40425,202305140926,10808,15,0.001388,"131409,526005,134998,725509,1579702,447283,382301,382466,382706,382955,383162,384030,384737,125868,127757","32905,2481,628,184303,172477,320273,46200,226062,226062,121736,64830,33695,195198,4113,2460","189,884,1650,1896,2682,7057,7284,7367,7429,7498,7591,7856,8025,9044,9540"
357865,202305162155,965,2,0.002073,"578915,126766","130,4113","639,886"
373040,202305262353,1406,4,0.002845,"131679,134220,135224,278263","64509,2481,2487,6567","105,514,671,1336"
5923434,202306072353,50,2,0.04,"131409,395637","32905,94421","33,44"
649596,202306221449,664,2,0.003012,"526005,399109","2481,6826","541,570"
71005680,202306221920,6,2,0.333333,"374670,122319","34586,2481","3,4"
26379225,202307011532,3,2,0.666667,"126766,375511","4113,5744","1,2"
34619736,202307011747,3,2,0.666667,"212210,212207","2481,64509","0,1"
62564,202307012048,355,2,0.005634,"383015,374494","33695,33695","13,291"
8433432,202307021737,4,2,0.5,"134220,134199","2481,4113","1,3"
56659407,202307022359,4,2,0.5,"134220,134199","2481,4113","1,3"
122331851,202307030050,5,2,0.4,"374670,122319","34586,2481","1,2"
70286481,202307031238,9,2,0.222222,"375335,375352","5744,19246","1,8"
530865,202307031631,280,3,0.010714,"554690,384732,39905","30506,34218,389","105,115,261"
74283,202307040238,190,3,0.015789,"131679,663430,39905","64509,243670,389","30,129,175"
11223,202307041343,1530,2,0.001307,"126439,554690","81413,30506","647,1084"
2839372,202307041432,96,2,0.020833,"384030,10824","33695,297940","4,12"
3266765,202307041831,41,2,0.04878,"86792,134154","64000,195198","1,2"
26379059,202307042029,4,2,0.5,"126766,122319","4113,2481","2,3"
13076430,202307042131,14,2,0.142857,"86756,86792","18330,64000","3,7"
12949404,202307042225,5,2,0.4,"126766,122319","4113,2481","1,2"
6027357,202307042230,109,2,0.018349,"135278,128477","6846,27967","21,102"
111236,202307071905,1003,4,0.003988,"392041,377828,132246,376502","51,37717,45676,2493","417,472,561,857"
1630266,202307091539,111,2,0.018018,"10824,395584","297940,24887","15,71"
23615998,202307120313,6,2,0.333333,"134220,134199","2481,4113","2,4"
1396994,202307121554,114,2,0.017544,"65614,395584","683,24887","18,83"
