user_id,post_count,like_count_sum,reply_count_sum,repost_count_sum,quote_count
8,118,205,42,61,33
46,1,15,4,6,0
51,187,27574,1527,5784,86
86,5,303,6,26,0
94,55,8871,648,807,11
99,16,7779,248,1541,8
130,137,130846,6059,18807,46
389,266,14118,636,3106,159
391,3,5,0,0,0
407,18,110,14,28,3
505,228,2510,221,360,100
628,173,42960,3544,10922,0
683,1991,14526,1091,3352,956
780,18,236,21,14,1
2079,22,629,35,551,3
2457,1,14,2,1,0
2460,72,32347,986,6984,23
2481,783,74353,1980,17896,80
2483,287,39895,1937,4498,120
2484,28,5512,227,349,1
2487,122,10498,482,2343,51
2493,362,65241,3059,6149,161
3060,373,60362,3040,9977,230
3063,423,714,138,175,26
3160,35,74,3,5,0
3205,11,39,1,4,0
3212,25,94,8,22,5
3248,21,91,14,11,1
3364,33,638,55,141,5
4113,60,60618,1798,13022,31
4293,132,5883,261,1206,20
4304,61,1569,149,133,5
5228,9,180,18,8,1
5229,66,802,41,66,1
5348,6,28,4,1,1
5350,3,585,31,10,0
5628,38,1283,56,215,0
5666,118,1060,130,100,17
5710,430,35270,2410,3514,143
5744,62,5152,144,2457,15
6520,36,2759,170,192,28
6567,154,22573,1127,4605,72
6684,30,4107,132,998,6
6693,7,540,28,62,1
6694,8,239,8,37,6
6702,3,89,5,34,0
6724,114,9529,462,2230,33
6781,12,155,22,22,0
6826,16,2747,148,432,12
6846,61,2895,160,540,9
7016,8,439,31,25,2
7028,20,359,26,32,3
7121,212,5319,364,559,27
8142,5,48,3,0,0
8726,24,852,56,85,3
9096,1,5,0,0,0
10481,22,214,9,37,14
11978,7,96,2,23,0
12492,15,23,4,5,1
12585,3,290,6,44,1
16261,3,10,1,1,0
16412,2,38,1,0,0
16857,80,1491,137,218,19
17098,28,838,71,158,9
17228,6,471,10,116,0
18178,3,74,5,20,0
18230,21,81,8,7,4
18308,12,378,35,114,4
18330,123,15428,699,3208,70
18331,9,154,18,43,4
18333,430,6516,410,1282,127
18348,37,1795,115,398,12
18362,9,555,34,95,2
18366,57,1096,78,312,13
18385,52,707,41,207,3
